Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerCorr TerrCorr TCBougGrav TCBougAn
-111.579456 42.855323 452658.776619 4744911.658707 1852.408000 3188.565000 18.100267 0.863028 -34.335058 11.8941 0.576 3193.768760 -14.5522
-111.579455 42.855345 452658.885936 4744914.105079 1852.408000 3188.553000 18.102252 0.863028 -34.335058 11.8941 0.576 3193.754775 -14.5662
-111.579454 42.855367 452658.994028 4744916.551570 1852.408000 3188.541000 18.104237 0.863028 -34.335058 11.8941 0.576 3193.740789 -14.5802
-111.579453 42.855389 452659.100730 4744918.997960 1852.408000 3188.530000 18.106222 0.863028 -34.335058 11.8941 0.576 3193.727804 -14.5932
-111.579452 42.855411 452659.205715 4744921.444250 1852.408000 3188.519000 18.108207 0.863028 -34.335058 11.8941 0.576 3193.714819 -14.6062
-111.579450 42.855433 452659.308904 4744923.890664 1852.408000 3188.510000 18.110192 0.863028 -34.335058 11.8941 0.576 3193.703834 -14.6172
-111.579449 42.855455 452659.410050 4744926.336981 1852.408000 3188.501000 18.112177 0.863028 -34.335058 11.8941 0.576 3193.692849 -14.6282
-111.579448 42.855477 452659.508908 4744928.783313 1852.408000 3188.494000 18.114162 0.863028 -34.335058 11.8941 0.576 3193.683864 -14.6371
-111.579447 42.855499 452659.605396 4744931.229551 1852.408000 3188.487000 18.116147 0.863028 -34.335058 11.8941 0.576 3193.674879 -14.6461
-111.579447 42.855521 452659.699188 4744933.675808 1852.408000 3188.481000 18.118132 0.863028 -34.335058 11.8941 0.576 3193.666894 -14.6541
-111.579446 42.855543 452659.790282 4744936.121972 1852.408000 3188.477000 18.120117 0.863028 -34.335058 11.8941 0.576 3193.660909 -14.6601
-111.579445 42.855565 452659.878435 4744938.568045 1852.408000 3188.474000 18.122102 0.863028 -34.335058 11.8941 0.576 3193.655924 -14.6651
-111.579444 42.855587 452659.963565 4744941.014139 1852.408000 3188.472000 18.124087 0.863028 -34.335058 11.8941 0.575 3193.651939 -14.6701
-111.579443 42.855609 452660.045345 4744943.460145 1852.408000 3188.472000 18.126072 0.863028 -34.335058 11.8941 0.576 3193.649954 -14.671
-111.579442 42.855631 452660.123855 4744945.906062 1852.408000 3188.472000 18.128057 0.863028 -34.335058 11.8941 0.576 3193.647969 -14.673
-111.579442 42.855653 452660.198852 4744948.351782 1852.408000 3188.474000 18.130042 0.863028 -34.335058 11.8941 0.575 3193.647984 -14.674
-111.579441 42.855675 452660.270253 4744950.797526 1852.408000 3188.477000 18.132027 0.863028 -34.335058 11.8941 0.575 3193.648999 -14.673
-111.579440 42.855697 452660.337894 4744953.243074 1852.408000 3188.481000 18.134012 0.863028 -34.335058 11.8941 0.575 3193.651014 -14.671
-111.579440 42.855719 452660.401777 4744955.688537 1852.408000 3188.487000 18.135997 0.863028 -34.335058 11.8941 0.575 3193.655029 -14.667
-111.579439 42.855741 452660.461818 4744958.133804 1852.408000 3188.493000 18.137982 0.863028 -34.335058 11.8941 0.575 3193.659044 -14.663
-111.579439 42.855763 452660.517773 4744960.578877 1852.408000 3188.501000 18.139967 0.863028 -34.335057 11.8941 0.575 3193.665059 -14.6569
-111.579438 42.855785 452660.569804 4744963.023644 1852.408000 3188.509000 18.141953 0.863028 -34.335057 11.8941 0.575 3193.671074 -14.6509
-111.579438 42.855807 452660.617749 4744965.468328 1852.408000 3188.518000 18.143938 0.863028 -34.335057 11.8941 0.575 3193.678089 -14.6439
-111.579438 42.855829 452660.661525 4744967.912707 1852.408000 3188.528000 18.145923 0.863028 -34.335057 11.8941 0.575 3193.686104 -14.6359
-111.579437 42.855851 452660.701214 4744970.356782 1852.408000 3188.539000 18.147908 0.863028 -34.335057 11.8941 0.575 3193.695119 -14.6269
-111.579437 42.855873 452660.736816 4744972.800663 1852.408000 3188.550000 18.149893 0.863028 -34.335057 11.8941 0.575 3193.704134 -14.6179
-111.579437 42.855895 452660.768249 4744975.244128 1852.408000 3188.561000 18.151878 0.863028 -34.335057 11.8941 0.575 3193.713149 -14.6089
-111.579437 42.855917 452660.795676 4744977.687287 1852.408000 3188.572000 18.153863 0.863028 -34.335057 11.8941 0.574 3193.722164 -14.6008
-111.579437 42.855939 452660.819016 4744980.130142 1852.408000 3188.584000 18.155848 0.863028 -34.335057 11.8941 0.574 3193.732178 -14.5908
-111.579437 42.855961 452660.838349 4744982.572468 1852.408000 3188.595000 18.157833 0.863028 -34.335057 11.8941 0.574 3193.741193 -14.5818
-111.579437 42.855983 452660.853758 4744985.014489 1852.408000 3188.606000 18.159818 0.863028 -34.335057 11.8941 0.574 3193.750208 -14.5728
-111.579437 42.856005 452660.865405 4744987.455980 1852.408000 3188.617000 18.161803 0.863028 -34.335057 11.8941 0.574 3193.759223 -14.5638
-111.579437 42.856027 452660.873373 4744989.897052 1852.408000 3188.627000 18.163788 0.863028 -34.335057 11.8941 0.574 3193.767238 -14.5558
-111.579437 42.856049 452660.877661 4744992.337706 1852.408000 3188.637000 18.165773 0.863028 -34.335057 11.8941 0.574 3193.775253 -14.5477
-111.579437 42.856071 452660.878677 4744994.777827 1852.408000 3188.646000 18.167758 0.863028 -34.335057 11.8941 0.574 3193.782268 -14.5407
-111.579437 42.856093 452660.876341 4744997.217526 1852.408000 3188.655000 18.169743 0.863028 -34.335057 11.8941 0.574 3193.789283 -14.5337
-111.579438 42.856115 452660.870977 4744999.656580 1852.408000 3188.663000 18.171728 0.863028 -34.335057 11.8941 0.574 3193.795298 -14.5277
-111.579438 42.856137 452660.862751 4745002.095210 1852.408000 3188.670000 18.173713 0.863028 -34.335057 11.8941 0.574 3193.800313 -14.5227
-111.579438 42.856159 452660.851824 4745004.533192 1852.408000 3188.676000 18.175698 0.863028 -34.335057 11.8941 0.574 3193.804328 -14.5187
-111.579439 42.856181 452660.838525 4745006.970746 1852.408000 3188.681000 18.177683 0.863028 -34.335057 11.8941 0.574 3193.807343 -14.5157
-111.579439 42.856203 452660.823015 4745009.407649 1852.408000 3188.685000 18.179668 0.863028 -34.335057 11.8941 0.574 3193.809358 -14.5136
-111.579440 42.856225 452660.805624 4745011.844121 1852.408000 3188.689000 18.181653 0.863028 -34.335057 11.8941 0.574 3193.811373 -14.5116
-111.579440 42.856247 452660.786594 4745014.280048 1852.408000 3188.691000 18.183638 0.863028 -34.335057 11.8941 0.573 3193.811388 -14.5126
-111.579440 42.856269 452660.766172 4745016.715430 1852.408000 3188.693000 18.185623 0.863028 -34.335057 11.8941 0.573 3193.811403 -14.5126
-111.579441 42.856291 452660.744685 4745019.150264 1852.408000 3188.694000 18.187608 0.863028 -34.335057 11.8941 0.573 3193.810418 -14.5136
-111.579441 42.856313 452660.722458 4745021.584659 1852.408000 3188.694000 18.189593 0.863028 -34.335057 11.8941 0.573 3193.808433 -14.5156
-111.579442 42.856335 452660.699820 4745024.018502 1852.408000 3188.693000 18.191578 0.863028 -34.335057 11.8941 0.573 3193.805448 -14.5186
-111.579442 42.856357 452660.676933 4745026.451902 1852.408000 3188.692000 18.193563 0.863028 -34.335057 11.8941 0.573 3193.802463 -14.5215
-111.579443 42.856378 452660.654207 4745028.884857 1852.408000 3188.690000 18.195458 0.863028 -34.335057 11.8941 0.573 3193.798568 -14.5254
-111.579443 42.856400 452660.632051 4745031.317475 1852.408000 3188.688000 18.197443 0.863028 -34.335057 11.8941 0.573 3193.794583 -14.5294
-111.579444 42.856422 452660.610545 4745033.749644 1852.408000 3188.685000 18.199428 0.863028 -34.335057 11.8941 0.573 3193.789598 -14.5344
-111.579444 42.856444 452660.590261 4745036.181360 1852.408000 3188.681000 18.201413 0.863028 -34.335057 11.8941 0.573 3193.783613 -14.5404
-111.579445 42.856466 452660.571283 4745038.612845 1852.408000 3188.678000 18.203398 0.863028 -34.335057 11.8941 0.573 3193.778628 -14.5454
-111.579445 42.856488 452660.554019 4745041.043986 1852.408000 3188.674000 18.205383 0.863028 -34.335057 11.8941 0.573 3193.772643 -14.5514
-111.579445 42.856510 452660.538713 4745043.474891 1852.408000 3188.670000 18.207368 0.863028 -34.335057 11.8941 0.573 3193.766658 -14.5573
-111.579446 42.856532 452660.525612 4745045.905447 1852.408000 3188.666000 18.209353 0.863028 -34.335057 11.8941 0.573 3193.760673 -14.5633
-111.579446 42.856554 452660.515042 4745048.335876 1852.408000 3188.661000 18.211338 0.863028 -34.335057 11.8941 0.573 3193.753687 -14.5703
-111.579446 42.856575 452660.507249 4745050.766174 1852.408000 3188.657000 18.213233 0.863028 -34.335057 11.8941 0.573 3193.747793 -14.5762
-111.579447 42.856597 452660.502478 4745053.196229 1852.408000 3188.652000 18.215218 0.863028 -34.335057 11.8941 0.573 3193.740808 -14.5832
-111.579447 42.856619 452660.500893 4745055.626262 1852.408000 3188.648000 18.217203 0.863028 -34.335057 11.8941 0.573 3193.734823 -14.5892
-111.579447 42.856641 452660.502738 4745058.056160 1852.408000 3188.643000 18.219188 0.863028 -34.335057 11.8941 0.573 3193.727838 -14.5962
-111.579447 42.856663 452660.508178 4745060.486034 1852.408000 3188.638000 18.221173 0.863028 -34.335057 11.8941 0.573 3193.720852 -14.6031
-111.579447 42.856685 452660.517376 4745062.915882 1852.408000 3188.633000 18.223158 0.863028 -34.335057 11.8941 0.573 3193.713867 -14.6101
-111.579447 42.856707 452660.530496 4745065.345703 1852.408000 3188.628000 18.225143 0.863028 -34.335057 11.8941 0.573 3193.706882 -14.6171
-111.579447 42.856729 452660.547619 4745067.775497 1852.408000 3188.623000 18.227128 0.863028 -34.335057 11.8941 0.573 3193.699897 -14.6241
-111.579447 42.856751 452660.568909 4745070.205373 1852.408000 3188.618000 18.229113 0.863028 -34.335057 11.8941 0.573 3193.692912 -14.6311
-111.579447 42.856772 452660.594530 4745072.635330 1852.408000 3188.613000 18.231008 0.863028 -34.335057 11.8941 0.573 3193.686017 -14.638
-111.579447 42.856794 452660.624400 4745075.065369 1852.408000 3188.607000 18.232993 0.863028 -34.335057 11.8941 0.573 3193.678032 -14.646
-111.579447 42.856816 452660.658600 4745077.495378 1852.408000 3188.601000 18.234978 0.863028 -34.335057 11.8941 0.573 3193.670047 -14.654
-111.579447 42.856838 452660.697295 4745079.925578 1852.408000 3188.595000 18.236963 0.863028 -34.335057 11.8941 0.573 3193.662062 -14.6619
-111.579446 42.856860 452660.740322 4745082.355971 1852.408000 3188.588000 18.238948 0.863028 -34.335057 11.8941 0.573 3193.653077 -14.6709
-111.579446 42.856882 452660.787842 4745084.786333 1852.408000 3188.581000 18.240933 0.863028 -34.335057 11.8941 0.573 3193.644092 -14.6799
-111.579445 42.856904 452660.839693 4745087.216887 1852.408000 3188.574000 18.242918 0.863028 -34.335057 11.8941 0.573 3193.635107 -14.6889
-111.579445 42.856926 452660.895957 4745089.647522 1852.408000 3188.566000 18.244903 0.863028 -34.335057 11.8941 0.573 3193.625122 -14.6989
-111.579444 42.856948 452660.956470 4745092.078350 1852.408000 3188.557000 18.246888 0.863028 -34.335056 11.8941 0.573 3193.614137 -14.7099
-111.579444 42.856969 452661.021232 4745094.509148 1852.408000 3188.548000 18.248783 0.863028 -34.335056 11.8941 0.573 3193.603242 -14.7208
-111.579443 42.856991 452661.090162 4745096.940140 1852.408000 3188.538000 18.250768 0.863028 -34.335056 11.8941 0.573 3193.591257 -14.7327
-111.579443 42.857013 452661.163014 4745099.371216 1852.408000 3188.528000 18.252753 0.863028 -34.335056 11.8941 0.573 3193.579272 -14.7447
-111.579442 42.857035 452661.239870 4745101.802487 1852.408000 3188.517000 18.254738 0.863028 -34.335056 11.8941 0.573 3193.566287 -14.7577
-111.579441 42.857057 452661.320485 4745104.233732 1852.408000 3188.505000 18.256723 0.863028 -34.335056 11.8941 0.573 3193.552302 -14.7717
-111.579440 42.857079 452661.404777 4745106.665062 1852.408000 3188.493000 18.258708 0.863028 -34.335056 11.8941 0.573 3193.538317 -14.7857
-111.579439 42.857101 452661.492501 4745109.096480 1852.408000 3188.480000 18.260693 0.863028 -34.335056 11.8941 0.573 3193.523332 -14.8007
-111.579438 42.857123 452661.583575 4745111.527986 1852.408000 3188.467000 18.262678 0.863028 -34.335056 11.8941 0.573 3193.508347 -14.8157
-111.579437 42.857145 452661.677672 4745113.959471 1852.408000 3188.453000 18.264663 0.863028 -34.335056 11.8941 0.573 3193.492362 -14.8316
-111.579436 42.857166 452661.774792 4745116.391047 1852.408000 3188.439000 18.266558 0.863028 -34.335056 11.8941 0.573 3193.476467 -14.8475
-111.579435 42.857188 452661.874527 4745118.822604 1852.408000 3188.424000 18.268543 0.863028 -34.335056 11.8941 0.573 3193.459482 -14.8645
-111.579434 42.857210 452661.976795 4745121.254255 1852.408000 3188.409000 18.270528 0.863028 -34.335056 11.8941 0.573 3193.442497 -14.8815
-111.579433 42.857232 452662.081350 4745123.685891 1852.408000 3188.394000 18.272513 0.863028 -34.335056 11.8941 0.573 3193.425512 -14.8985
-111.579432 42.857254 452662.187866 4745126.117513 1852.408000 3188.378000 18.274498 0.863028 -34.335056 11.8941 0.573 3193.407527 -14.9165
-111.579431 42.857276 452662.296179 4745128.549011 1852.408000 3188.363000 18.276483 0.863028 -34.335056 11.8941 0.573 3193.390542 -14.9335
